BusinessID,BusinessName,AnnualRevenue,CreditScore,LatePayments,Industry_Healthcare,Industry_Retail,Industry_Technology
1616c3df-e6eb-4683-843e-dd09c32fef64,Parker Inc,4229027.0,712.0,7.0,0.0,1.0,0.0
6eebfe2a-0c55-48c7-bd84-f4f044d3b5f4,Baker LLC,1402314.0,448.0,3.0,0.0,0.0,0.0
b752456e-fc95-47bb-8751-65080e99e792,"Mcmahon, Miller and Daniel",1329220.0,409.0,10.0,0.0,0.0,0.0
a09d1441-7b38-423e-8dc1-dcc54c9300be,Shields-Mata,3965091.0,682.0,3.0,0.0,0.0,1.0
9c853fac-3413-48e1-a941-a82891141a9e,"Burton, Anderson and Morris",2255516.0,550.0,10.0,0.0,0.0,0.0
faf79fc9-0b59-4b37-b046-f945ed7b5108,Roberts Ltd,3315217.0,544.0,5.0,0.0,0.0,0.0
f8468218-cf3d-407a-94c1-8b2eb5d0a623,Alvarado and Sons,4442427.0,833.0,3.0,0.0,1.0,0.0
072834c1-f939-46ab-8017-42eb35193f46,Contreras-Goodman,2630184.0,441.0,7.0,0.0,1.0,0.0
0026c7fa-14c5-49df-9c53-0d129f8ffb4c,Cruz Ltd,3467496.0,408.0,1.0,0.0,0.0,1.0
2919de80-4863-489f-bf5a-c8e5d2bf6d4e,Cole-Whitehead,454662.0,366.0,1.0,0.0,0.0,0.0
906bbb1c-8ce7-4144-a7f7-146abe7b4377,Parks-Estes,849160.0,649.0,9.0,0.0,0.0,1.0
ce30e32b-9566-4151-861e-c64857a9226f,Werner-Owens,4147993.0,451.0,1.0,1.0,0.0,0.0
07e98084-b9e9-4dfd-8efc-5cec9a4c2456,"Garcia, Mccormick and Wheeler",676822.0,728.0,9.0,1.0,0.0,0.0
db48987f-cf7b-4b61-bde7-eef571dc590a,Flores-Stewart,3422149.0,465.0,1.0,0.0,0.0,1.0
4005ccaf-630f-49cd-b4de-9dfe1c6dce2e,"Martinez, Smith and Clark",4628749.0,837.0,10.0,0.0,1.0,0.0
90b0f303-a4e0-4516-be67-cb4e7f296d3c,Austin-Norris,3950636.0,402.0,5.0,1.0,0.0,0.0
7d00f97f-73da-4cc5-a459-e59c98bf0eb3,Mitchell PLC,1323507.0,662.0,6.0,1.0,0.0,0.0
8704c22b-61b3-498a-85c5-53ca296dae02,"Franklin, Smith and Woodard",324673.0,410.0,2.0,0.0,1.0,0.0
5b8eb61e-d53a-40e7-9660-a024c63119ba,Willis-Rodriguez,4628446.0,662.0,4.0,0.0,0.0,1.0
1931709f-a996-4ca6-891e-399afc135a09,"Green, Torres and Powers",962846.0,329.0,1.0,0.0,0.0,0.0
e291ba85-fba1-4299-9692-f76f6cc61019,Moore-Berger,1138171.0,716.0,8.0,0.0,1.0,0.0
18cdb528-0804-4d52-8d63-d965c6400f3a,Terrell Inc,2132355.0,565.0,0.0,0.0,0.0,1.0
16c93925-5f3a-4876-918e-7a2462540978,Day and Sons,4152805.0,825.0,7.0,1.0,0.0,0.0
8fc9d71e-fceb-4283-8b99-d85804ebd069,Watkins-Chaney,2498557.0,645.0,1.0,0.0,0.0,0.0
